zip,state,county,city,radius,distance
60457,IL,Cook,Hickory Hills,6,20.25
60599,IL,Dupage,Fox Valley,6,20.30
60586,IL,Will,Plainfield,6,20.49
60181,IL,Dupage,Villa Park,6,21.16
60462,IL,Cook,Orland Park,6,21.57
60507,IL,Kane,Aurora,6,21.79
60568,IL,Kane,Aurora,6,21.80
60501,IL,Cook,Summit Argo,6,21.88
60526,IL,Cook,La Grange Park,6,21.96
60455,IL,Cook,Bridgeview,6,22.29
60543,IL,Kendall,Oswego,6,22.40
60154,IL,Cook,Westchester,6,22.40
60433,IL,Will,Joliet,6,22.80
60162,IL,Cook,Hillside,6,22.82
60482,IL,Cook,Worth,6,22.87
60513,IL,Cook,Brookfield,6,23.01
60186,IL,Dupage,West Chicago,6,23.14
60431,IL,Will,Joliet,6,23.28
60451,IL,Will,New Lenox,6,23.30
60126,IL,Dupage,Elmhurst,6,23.35
60199,IL,Dupage,Carol Stream,6,23.78
60436,IL,Will,Joliet,6,23.82
60463,IL,Cook,Palos Heights,6,23.85
60538,IL,Kendall,Montgomery,6,23.96
60116,IL,Dupage,Carol Stream,6,23.99
60128,IL,Dupage,Carol Stream,6,23.99
60132,IL,Dupage,Carol Stream,6,23.99
60534,IL,Cook,Lyons,6,24.01
60197,IL,Dupage,Carol Stream,6,24.01
60448,IL,Will,Mokena,6,24.07
60415,IL,Cook,Chicago Ridge,6,24.13
60139,IL,Dupage,Glendale Heights,6,24.15
60188,IL,Dupage,Carol Stream,6,24.17
60163,IL,Cook,Berkeley,6,24.47
60185,IL,Dupage,West Chicago,6,24.59
60155,IL,Cook,Broadview,6,24.68
60404,IL,Will,Shorewood,6,24.71
60546,IL,Cook,Riverside,6,24.94
60487,IL,Cook,Tinley Park,6,25.01
60459,IL,Cook,Burbank,6,25.28
60104,IL,Cook,Bellwood,6,25.43
60453,IL,Cook,Oak Lawn,6,25.74
60101,IL,Dupage,Addison,6,25.83
60542,IL,Kane,North Aurora,6,26.00
60539,IL,Kane,Mooseheart,6,26.15
60141,IL,Cook,Hines,6,26.18
60454,IL,Cook,Oak Lawn,6,26.22
60638,IL,Cook,Chicago,6,26.44
60506,IL,Kane,Aurora,6,26.54
60418,IL,Cook,Crestwood,6,26.88
60117,IL,Dupage,Bloomingdale,6,26.98
60510,IL,Kane,Batavia,6,27.08
60402,IL,Cook,Berwyn,6,27.11
60165,IL,Cook,Stone Park,6,27.27
60153,IL,Cook,Maywood,6,27.32
60108,IL,Dupage,Bloomingdale,6,27.61
60682,IL,Cook,Chicago,6,27.75
60130,IL,Cook,Forest Park,6,27.81
60803,IL,Cook,Alsip,6,27.82
60164,IL,Cook,Melrose Park,6,28.13
60160,IL,Cook,Melrose Park,6,28.17
60456,IL,Cook,Hometown,6,28.25
60161,IL,Cook,Melrose Park,6,28.26
60452,IL,Cook,Oak Forest,6,28.30
60512,IL,Kendall,Bristol,6,28.49
60499,IL,Cook,Bedford Park,6,28.65
60477,IL,Cook,Tinley Park,6,28.67
60445,IL,Cook,Midlothian,6,29.10
60134,IL,Kane,Geneva,6,29.25
60157,IL,Dupage,Medinah,6,29.63
60305,IL,Cook,River Forest,6,29.70
60655,IL,Cook,Chicago,6,29.84
60304,IL,Cook,Oak Park,6,29.95
60804,IL,Cook,Cicero,6,29.98
60131,IL,Cook,Franklin Park,6,29.99
60652,IL,Cook,Chicago,6,30.06
60105,IL,Dupage,Bensenville,6,30.09
60399,IL,Dupage,Wood Dale,6,30.09
60143,IL,Dupage,Itasca,6,30.15
60191,IL,Dupage,Wood Dale,6,30.27
60172,IL,Dupage,Roselle,6,30.46
60301,IL,Cook,Oak Park,6,30.57
60805,IL,Cook,Evergreen Park,6,30.59
60106,IL,Dupage,Bensenville,6,30.64
60629,IL,Cook,Chicago,6,30.66
60472,IL,Cook,Robbins,6,30.79
60701,IL,Cook,Chicago,6,30.95
60171,IL,Cook,River Grove,6,31.05
60447,IL,Grundy,Minooka,6,31.07
60421,IL,Will,Elwood,6,31.08
60133,IL,Cook,Hanover Park,6,31.14
60303,IL,Cook,Oak Park,6,31.15
60688,IL,Cook,Chicago,6,31.27
60302,IL,Cook,Oak Park,6,31.50
60423,IL,Will,Frankfort,6,31.61
60174,IL,Kane,Saint Charles,6,31.63
60184,IL,Dupage,Wayne,6,31.87
60632,IL,Cook,Chicago,6,31.91
60410,IL,Will,Channahon,6,32.26
60560,IL,Kendall,Yorkville,6,32.39
60644,IL,Cook,Chicago,6,32.56
60103,IL,Dupage,Bartlett,6,32.57
60406,IL,Cook,Blue Island,6,32.65
60478,IL,Cook,Country Club Hills,6,32.66
60707,IL,Cook,Elmwood Park,6,32.69
60469,IL,Cook,Posen,6,32.85
60176,IL,Cook,Schiller Park,6,33.04
60428,IL,Cook,Markham,6,33.28
60623,IL,Cook,Chicago,6,33.38
60666,IL,Cook,Chicago,6,33.53
60554,IL,Kane,Sugar Grove,6,33.67
60643,IL,Cook,Chicago,6,33.89
60193,IL,Cook,Schaumburg,6,34.18
60636,IL,Cook,Chicago,6,34.21
60009,IL,Cook,Elk Grove Village,6,34.52
60634,IL,Cook,Chicago,6,34.59
60620,IL,Cook,Chicago,6,34.78
60147,IL,Kane,Lafox,6,34.78
60624,IL,Cook,Chicago,6,34.88
60007,IL,Cook,Elk Grove Village,6,34.97
60429,IL,Cook,Hazel Crest,6,35.10
60651,IL,Cook,Chicago,6,35.15
60443,IL,Cook,Matteson,6,35.22
60639,IL,Cook,Chicago,6,35.54
60426,IL,Cook,Harvey,6,35.71
60706,IL,Cook,Harwood Heights,6,35.83
